0,00000,6
1,00000,6
0,00001,5
1,00001,51
0,00002,4
1,00002,5
0,00003,51
1,00003,5
0,00004,5
1,00004,4
0,00010,5
1,00010,51
0,00011,5
1,00011,51
0,00012,4
1,00012,51
0,00013,51
1,00013,51
0,00014,4
1,00014,51
0,00020,4
1,00020,5
0,00021,4
1,00021,51
0,00022,3
1,00022,5
0,00023,51
1,00023,4
0,00024,4
1,00024,4
0,00030,51
1,00030,5
0,00031,51
1,00031,51
0,00032,51
1,00032,4
0,00033,51
1,00033,5
0,00034,51
1,00034,4
0,00040,5
1,00040,4
0,00041,4
1,00041,51
0,00042,4
1,00042,4
0,00043,51
1,00043,4
0,00044,5
1,00044,3
0,00100,5
1,00100,51
0,00101,5
1,00101,51
0,00102,4
1,00102,51
0,00103,51
1,00103,51
0,00104,4
1,00104,51
0,00110,5
1,00110,51
0,00111,5
1,00111,51
0,00112,4
1,00112,51
0,00113,51
1,00113,51
0,00114,4
1,00114,51
0,00120,4
1,00120,51
0,00121,4
1,00121,51
0,00122,3
1,00122,51
0,00123,51
1,00123,51
0,00124,3
1,00124,51
0,00130,51
1,00130,51
0,00131,51
1,00131,51
0,00132,51
1,00132,51
0,00133,51
1,00133,51
0,00134,51
1,00134,51
0,00140,4
1,00140,51
0,00141,4
1,00141,51
0,00142,3
1,00142,51
0,00143,51
1,00143,51
0,00144,3
1,00144,51
0,00200,4
1,00200,5
0,00201,4
1,00201,51
0,00202,3
1,00202,5
0,00203,51
1,00203,4
0,00204,4
1,00204,4
0,00210,4
1,00210,51
0,00211,4
1,00211,51
0,00212,3
1,00212,51
0,00213,51
1,00213,51
0,00214,3
1,00214,51
0,00220,3
1,00220,5
0,00221,3
1,00221,51
0,00222,2
1,00222,5
0,00223,51
1,00223,3
0,00224,3
1,00224,4
0,00230,51
1,00230,4
0,00231,51
1,00231,51
0,00232,51
1,00232,3
0,00233,51
1,00233,4
0,00234,51
1,00234,3
0,00240,4
1,00240,4
0,00241,3
1,00241,51
0,00242,3
1,00242,4
0,00243,51
1,00243,3
0,00244,4
1,00244,3
0,00300,51
1,00300,5
0,00301,51
1,00301,51
0,00302,51
1,00302,4
0,00303,51
1,00303,5
0,00304,51
1,00304,4
0,00310,51
1,00310,51
0,00311,51
1,00311,51
0,00312,51
1,00312,51
0,00313,51
1,00313,51
0,00314,51
1,00314,51
0,00320,51
1,00320,4
0,00321,51
1,00321,51
0,00322,51
1,00322,3
0,00323,51
1,00323,4
0,00324,51
1,00324,3
0,00330,51
1,00330,5
0,00331,51
1,00331,51
0,00332,51
1,00332,4
0,00333,51
1,00333,5
0,00334,51
1,00334,4
0,00340,51
1,00340,4
0,00341,51
1,00341,51
0,00342,51
1,00342,3
0,00343,51
1,00343,4
0,00344,51
1,00344,3
0,00400,5
1,00400,4
0,00401,4
1,00401,51
0,00402,4
1,00402,4
0,00403,51
1,00403,4
0,00404,5
1,00404,3
0,00410,4
1,00410,51
0,00411,4
1,00411,51
0,00412,3
1,00412,51
0,00413,51
1,00413,51
0,00414,3
1,00414,51
0,00420,4
1,00420,4
0,00421,3
1,00421,51
0,00422,3
1,00422,4
0,00423,51
1,00423,3
0,00424,4
1,00424,3
0,00430,51
1,00430,4
0,00431,51
1,00431,51
0,00432,51
1,00432,3
0,00433,51
1,00433,4
0,00434,51
1,00434,3
0,00440,5
1,00440,3
0,00441,3
1,00441,51
0,00442,4
1,00442,3
0,00443,51
1,00443,3
0,00444,5
1,00444,2
0,01000,5
1,01000,51
0,01001,5
1,01001,51
0,01002,4
1,01002,51
0,01003,51
1,01003,51
0,01004,4
1,01004,51
0,01010,5
1,01010,51
0,01011,5
1,01011,51
0,01012,4
1,01012,51
0,01013,51
1,01013,51
0,01014,4
1,01014,51
0,01020,4
1,01020,51
0,01021,4
1,01021,51
0,01022,3
1,01022,51
0,01023,51
1,01023,51
0,01024,3
1,01024,51
